15:12:42.096279 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31334340:31334512, ack 17461, win 313, length 172
15:12:42.096380 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31334512:31334684, ack 17461, win 313, length 172
15:12:42.096450 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31334684:31334856, ack 17461, win 313, length 172
15:12:42.096508 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31334856:31335028, ack 17461, win 313, length 172
15:12:42.096564 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31335028:31335200, ack 17461, win 313, length 172
15:12:42.096619 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31335200:31335372, ack 17461, win 313, length 172
15:12:42.096674 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31335372:31335544, ack 17461, win 313, length 172
15:12:42.096728 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31335544:31335716, ack 17461, win 313, length 172
15:12:42.096782 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31335716:31335888, ack 17461, win 313, length 172
15:12:42.096839 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31335888:31336060, ack 17461, win 313, length 172
15:12:42.096894 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31336060:31336232, ack 17461, win 313, length 172
15:12:42.096949 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31336232:31336404, ack 17461, win 313, length 172
15:12:42.097004 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31336404:31336576, ack 17461, win 313, length 172
15:12:42.097065 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31336576:31336748, ack 17461, win 313, length 172
15:12:42.097119 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31336748:31336920, ack 17461, win 313, length 172
15:12:42.097174 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31336920:31337092, ack 17461, win 313, length 172
15:12:42.097240 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31337092:31337264, ack 17461, win 313, length 172
15:12:42.097326 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31337264:31337436, ack 17461, win 313, length 172
15:12:42.097410 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31337436:31337608, ack 17461, win 313, length 172
15:12:42.097470 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31337608:31337780, ack 17461, win 313, length 172
15:12:42.097525 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31337780:31337952, ack 17461, win 313, length 172
15:12:42.097581 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31337952:31338124, ack 17461, win 313, length 172
15:12:42.097636 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31338124:31338296, ack 17461, win 313, length 172
15:12:42.097690 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31338296:31338468, ack 17461, win 313, length 172
15:12:42.097748 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31338468:31338640, ack 17461, win 313, length 172
15:12:42.097805 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31338640:31338812, ack 17461, win 313, length 172
15:12:42.097861 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31338812:31338984, ack 17461, win 313, length 172
15:12:42.097915 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31338984:31339156, ack 17461, win 313, length 172
15:12:42.097969 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31339156:31339328, ack 17461, win 313, length 172
15:12:42.098023 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31339328:31339500, ack 17461, win 313, length 172
15:12:42.098077 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31339500:31339672, ack 17461, win 313, length 172
15:12:42.098131 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31339672:31339844, ack 17461, win 313, length 172
15:12:42.098188 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31339844:31340016, ack 17461, win 313, length 172
15:12:42.098223 IP 198.96.85.21.63664 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 31320908, win 4123, length 0
15:12:42.098249 IP 198.96.85.21.63664 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 31321372, win 4121, length 0
15:12:42.098254 IP 198.96.85.21.63664 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 31325276, win 4123, length 0
15:12:42.098375 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31340016:31340532, ack 17461, win 313, length 516
15:12:42.098439 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31340532:31340704, ack 17461, win 313, length 172
15:12:42.098497 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31340704:31340876, ack 17461, win 313, length 172
15:12:42.098552 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31340876:31341048, ack 17461, win 313, length 172
15:12:42.098608 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31341048:31341220, ack 17461, win 313, length 172
15:12:42.098663 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31341220:31341392, ack 17461, win 313, length 172
15:12:42.098718 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31341392:31341564, ack 17461, win 313, length 172
